suffix,count,example_tokens
कओ,554,गर्भाबस्थाकओ | उनकओ | बच्चाकओ | सुनिलकओ | दिनकओ
एकओ,250,बगएकओ | गरिएकओ | बिगारएकओ | भइरहएकओ | नबच्चएकओ
मा,191,बरिद्धिमा | गओमा | छालामा | दिनमा | रुपमा
नए,189,आउनए | हुनए | बग्नए | फुल्नए | सुत्नए
लए,139,गर्भाबस्थालए | उसलए | आमालए | अहिलए | उमएरलए
लाइ,72,उनलाइ | उसलाइ | नानिलाइ | ढिलाइ | आमालाइ
पछि,33,पिएपछि | रओएपछि | खाएपछि | सुत्कएरिपछि | दिएपछि
दएखि,26,बिहानदएखि | जन्मदएखि | दिनदएखि | समयदएखि | घण्टादएखि
बाट,17,सरिरबाट | गओजिबाट | यओनिबाट | मुखबाट | गुदाबाट
सग,7,राम्रओसग | समस्यासग
सम्म,4,घण्टऔसम्म | समयसम्म
हरु,2,दानाहरु | घटनाहरु
साथ,2,एकऐसाथ
